Juego inicializado - Nivel 1 (mapa 10x10) - 4 colectables
Sala inicial: 0

=== SETUP INICIAL ===
Posicion de la camara: -20.00, 1.00, 12.00
Centro de sala (y, x) 2D: 5, 3
Mouse Moved: Yaw -> -7.00, Pitch -> -3.25
Mouse Moved: Yaw -> -8.25, Pitch -> -3.25
Mouse Moved: Yaw -> -9.25, Pitch -> -3.25
Mouse Moved: Yaw -> -10.00, Pitch -> -3.25
Mouse Moved: Yaw -> -10.50, Pitch -> -3.25
Mouse Moved: Yaw -> -10.75, Pitch -> -3.25
Mouse Moved: Yaw -> -10.75, Pitch -> -3.00
Mouse Moved: Yaw -> -11.00, Pitch -> -3.00
Mouse Moved: Yaw -> -11.25, Pitch -> -2.50
Mouse Moved: Yaw -> -11.75, Pitch -> -2.00
Mouse Moved: Yaw -> -12.25, Pitch -> -1.50
Mouse Moved: Yaw -> -13.00, Pitch -> -1.25
Mouse Moved: Yaw -> -13.50, Pitch -> -0.75
Mouse Moved: Yaw -> -14.00, Pitch -> -0.25
Mouse Moved: Yaw -> -14.00, Pitch -> 0.00
Mouse Moved: Yaw -> -13.50, Pitch -> 0.00
Mouse Moved: Yaw -> -12.75, Pitch -> 0.00
Mouse Moved: Yaw -> -11.75, Pitch -> 0.00
Mouse Moved: Yaw -> -10.50, Pitch -> 0.25
Mouse Moved: Yaw -> -9.50, Pitch -> 0.50
Mouse Moved: Yaw -> -8.00, Pitch -> 0.75
Mouse Moved: Yaw -> -8.00, Pitch -> 1.00
Mouse Moved: Yaw -> -7.75, Pitch -> 1.00
Mouse Moved: Yaw -> -7.50, Pitch -> 1.00
Mouse Moved: Yaw -> -7.25, Pitch -> 1.00
Mouse Moved: Yaw -> -7.25, Pitch -> 1.25
Mouse Moved: Yaw -> -7.50, Pitch -> 1.25
Mouse Moved: Yaw -> -7.75, Pitch -> 1.50
Mouse Moved: Yaw -> -8.00, Pitch -> 1.50
Mouse Moved: Yaw -> -8.00, Pitch -> 1.75
Mouse Moved: Yaw -> -7.75, Pitch -> 1.75
Mouse Moved: Yaw -> -7.50, Pitch -> 1.75
Mouse Moved: Yaw -> -7.25, Pitch -> 2.00
Mouse Moved: Yaw -> -7.00, Pitch -> 2.00
Mouse Moved: Yaw -> -6.75, Pitch -> 2.00
Mouse Moved: Yaw -> -6.75, Pitch -> 1.75
Mouse Moved: Yaw -> -6.75, Pitch -> 1.50
Mouse Moved: Yaw -> -6.75, Pitch -> 1.25
Mouse Moved: Yaw -> -7.00, Pitch -> 1.00
Mouse Moved: Yaw -> -7.25, Pitch -> 0.75
Mouse Moved: Yaw -> -7.50, Pitch -> 0.75
Mouse Moved: Yaw -> -7.00, Pitch -> 0.50
Mouse Moved: Yaw -> -6.25, Pitch -> 0.25
Mouse Moved: Yaw -> -5.75, Pitch -> 0.25
Mouse Moved: Yaw -> -5.00, Pitch -> 0.25
Mouse Moved: Yaw -> -4.25, Pitch -> 0.25
Mouse Moved: Yaw -> -3.50, Pitch -> 0.25
Mouse Moved: Yaw -> -2.75, Pitch -> 0.25
Mouse Moved: Yaw -> -2.00, Pitch -> 0.25
Mouse Moved: Yaw -> -1.25, Pitch -> 0.25
Mouse Moved: Yaw -> -0.50, Pitch -> 0.25
Mouse Moved: Yaw -> 0.00, Pitch -> 0.50
